binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,corr_feature_class,outliers 1,multicollinearity 1,pd qcut3,pd qcut1,target,informative_2,correlated w target 1,correlated w target 2,informative_1,uniform corr 1,random choice 2,multicollinearity 4,outliers 2,multicollinearity 3,multicollinearity 2,random label num 12,uniform corr 2,random choice 7,class,scaling_combined,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4,random choice 4_North,random choice 4_South,random choice 4_West,random label num 4_label num lo 2,random label num 4_label num lo 3,random label num 4_label num lo 4,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2
0,0.52,0.006,0.002,0.001,0.302,0.56,0.001,0.008,0.001,-8.382784263630302,-5.275177846048345,-3.353169868337258,0.095,0,-0.9042236742875387,-0.6638599972813359,1.4278236176087966,-4.167613176433048,-0.9991017824896424,0.3170621437501335,1,0.13937949306600608,-5.375314849627513,-2.5794444396594747,-1.5600266225377006,0.072,0.7615327046347297,0.194,1.0,21851.97340965,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.004,0.001,0.001,0.001,0.001,0.56,0.001,0.019,0.001,1.4418141581160326,1.6425849729193776,-1.260418814798529,0.606,1,2.324369783092482,1.153596854135379,0.7269541495750733,4.479845526688437,1.2466861830450993,0.47961482807813227,0,-0.02573667113497697,2.71643011366345,0.2970071764686332,-1.6733610784738568,0.08,0.6001206030630216,0.138,1.0,21851.97340965,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.52,0.011,0.002,0.001,0.001,0.56,0.103,0.171,0.148,-8.382784263630302,1.9056624699989078,-1.0703919180772348,0.606,0,1.7782165547025084,0.8593974662590766,0.5203943228546111,0.4370958547911633,0.9627768269601935,0.29664215023217655,0,-2.669447751305137,-5.375314849627513,-0.6598084033104418,0.6454830485127262,0.092,0.79218465409711,0.134,1.0,21851.97340965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0.001,0.007,0.102,0.001,0.001,0.56,0.103,0.171,0.148,-8.382784263630302,-5.275177846048345,0.6176158118679457,0.098,1,5.451234575139656,2.0336452879154674,0.05844191980878577,3.3966673974333466,-2.9574409509433037,0.6568914430054007,0,-2.669447751305137,-5.375314849627513,0.4450915130860806,0.6039001988225787,0.078,0.9648871382911065,0.142,1.0,21851.97340965,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.52,0.007,0.001,0.001,0.302,0.56,0.001,0.013,0.001,3.3576777281475976,2.035972382535808,-0.9123878147663828,0.606,1,2.1539258469951807,1.05944863351561,-7.8871237157867045,1.0462751814596385,1.1411652716579705,0.7603568885468817,0,-2.669447751305137,-5.375314849627513,1.6058304560019132,-0.940207333127203,0.08,0.5859917502345608,0.142,1.0,46409.94185606343,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.006,0.006,0.001,0.051,0.001,0.001,0.001,0.014,0.001,-8.382784263630302,-0.5716016003915385,-0.22242537635317974,0.098,1,4.626787069235546,2.399635889224372,5.558565330251133,0.37718437341114885,2.485477863898728,0.9848029679119074,1,-0.11358346734464092,-5.375314849627513,0.16613710585501068,0.7558236472640467,0.072,0.6839941099614778,0.14,1.0,44424.80169922482,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.013,0.001,-8.382784263630302,0.24356298007854454,-3.353169868337258,0.102,0,-1.187224231921867,-0.747560845179044,3.0594749474230714,1.8658621212615127,-0.6479636736717482,0.11934445570492946,1,0.20153510878144315,-5.375314849627513,-2.5794444396594747,-0.4244477906380812,0.092,0.3593573764295894,0.14,0.0,41445.80734453351,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.001,0.002,0.001,0.001,0.302,0.56,0.001,0.012,0.001,-0.32525501092133124,0.34491294632035746,-3.353169868337258,0.102,0,-1.266374292198878,-0.8182224427035356,-7.8871237157867045,0.48825776855073344,-0.8922328125534437,0.5118859077498793,1,-2.669447751305137,3.0252520253157305,1.1601024032133889,-0.5595990590111303,0.07,0.30749326070333194,0.14,0.0,65679.93747886401,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.52,0.002,0.001,0.001,0.001,0.56,0.001,0.02,0.148,-8.382784263630302,-0.5770428007919445,-3.353169868337258,0.606,0,0.24111056261580832,-0.09154666780661158,-7.8871237157867045,0.6889281771638801,-0.7273359834485558,0.6197850947055259,0,-1.0025972654636306,4.059674861566731,-0.466924225718287,-0.44999592894872087,0.093,0.6921711427991155,0.14,0.0,58964.814582624436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.003,0.005,0.001,0.001,0.001,0.56,0.001,0.014,0.001,-8.382784263630302,-5.275177846048345,-1.4160124282068385,0.606,0,-3.935564389564147,-1.8069333466532713,-7.216577460802723,0.9183696147237628,0.9753643211025785,0.34622002960466564,0,-0.4512246841791953,5.001839067309165,-2.5794444396594747,-0.7462940088129596,0.093,0.0006660815393358741,0.14,0.0,41649.45868616777,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
